ModelID,LN_IC50
ACH-001605,4.160858
ACH-000198,1.240332
ACH-000633,4.044765
ACH-000391,3.731261
ACH-000622,5.901775
ACH-000427,3.32516
ACH-000056,3.361137
ACH-001399,2.773577
ACH-000491,1.126867
ACH-000858,1.904947
ACH-000638,5.146659
ACH-000508,3.692469
ACH-000953,3.657964
ACH-000910,2.906669
ACH-000493,4.284562
ACH-000675,1.866009
ACH-000263,0.294486
ACH-000506,2.878333
ACH-000754,2.81498
ACH-000924,3.862865
ACH-000720,4.144621
ACH-000355,3.540061
ACH-000021,3.68279
ACH-000998,2.320352
ACH-000860,1.947494
ACH-000663,4.130381
ACH-000554,2.188046
ACH-000969,0.610074
ACH-000843,1.498234
ACH-002290,0.73298
ACH-000050,1.993826
ACH-000873,3.562252
ACH-000305,2.137875
ACH-000577,2.630163
ACH-000149,3.15069
ACH-000440,3.017985
ACH-002059,3.317072
ACH-000750,0.850993
ACH-000464,2.807555
ACH-002077,3.226783
ACH-000514,3.655796
ACH-001333,2.061406
ACH-000451,4.917578
ACH-000615,-1.231776
ACH-000640,3.26906
ACH-000944,3.569779
ACH-000113,-0.771339
ACH-001489,3.96051
ACH-000651,1.289009
ACH-000697,0.543724
ACH-000238,3.8448
ACH-001190,1.862909
ACH-000287,2.930247
ACH-000702,2.570057
ACH-000298,3.71182
ACH-000595,3.527493
ACH-000724,3.647836
ACH-000991,3.096869
ACH-000351,2.506385
ACH-000358,5.317393
ACH-000752,3.561666
ACH-000581,2.093879
ACH-000356,1.256785
ACH-000617,3.587963
ACH-002020,3.087971
ACH-000603,3.853666
ACH-000153,3.766185
ACH-002142,5.515509
ACH-000729,3.044385
ACH-000376,5.616207
ACH-000338,1.247521
ACH-000989,1.637419
ACH-000099,1.233597
ACH-000489,2.256002
ACH-000971,-0.451484
ACH-000421,2.272495
ACH-000927,4.367613
ACH-000311,0.716219
ACH-000109,5.070646
ACH-000434,2.371139
ACH-000378,3.951853
ACH-000191,0.890032
ACH-000652,2.772236
ACH-000072,1.515327
ACH-000583,2.676178
ACH-000423,2.917775
ACH-000315,2.841142
ACH-000544,2.437917
ACH-000218,1.310556
ACH-000693,3.708416
ACH-000535,2.688418
ACH-000096,-0.169529
ACH-000395,3.166657
ACH-002178,3.015768
ACH-000117,3.273353
ACH-000678,3.895176
ACH-000611,3.323164
ACH-000756,5.122565
ACH-000655,4.262305
ACH-000906,1.810212
ACH-001542,1.331648
ACH-000254,2.48771
ACH-000660,2.142279
ACH-000619,3.265559
ACH-000957,2.479085
ACH-000903,2.58715
ACH-000627,5.986708
ACH-000624,2.633033
ACH-000470,0.689961
ACH-000878,2.294542
ACH-000769,3.757651
ACH-000270,1.998609
ACH-000917,2.807845
ACH-000648,4.520899
ACH-000865,2.451359
ACH-000717,4.842164
ACH-001529,3.686966
ACH-000350,2.807542
ACH-000778,2.018793
ACH-000235,3.212782
ACH-000730,1.586822
ACH-000580,0.818875
ACH-000718,0.423248
ACH-001402,2.980768
ACH-000970,2.060554
ACH-000562,3.601145
ACH-001702,4.573276
ACH-000472,3.511112
ACH-001680,2.347264
ACH-000871,2.62482
ACH-000869,2.972122
ACH-000019,4.066173
ACH-000759,1.640264
ACH-000399,5.311018
ACH-001525,2.783354
ACH-000486,-0.755796
ACH-001704,6.110393
ACH-000620,2.808662
ACH-000360,1.354978
ACH-000751,1.101387
ACH-000536,3.970847
ACH-000247,-0.248986
ACH-000242,2.470356
ACH-000830,5.155434
ACH-000936,3.965446
ACH-000137,2.37432
ACH-000649,2.373969
ACH-000396,3.823741
ACH-000012,5.020681
ACH-000303,1.683931
ACH-000548,6.017666
ACH-001543,2.217896
ACH-000129,4.199379
ACH-000030,2.457426
ACH-000070,1.174435
ACH-000411,3.460376
ACH-000401,0.403056
ACH-000053,1.988747
ACH-000966,0.376043
ACH-001338,3.030153
ACH-000915,-0.261053
ACH-000322,0.367423
ACH-000983,2.08079
ACH-000430,1.312375
ACH-000052,2.997333
ACH-000849,2.794681
ACH-000380,1.917806
ACH-001820,3.294631
ACH-000221,1.691087
ACH-000547,1.972807
ACH-000186,5.478071
ACH-000001,3.246811
ACH-000347,1.877817
ACH-000589,1.168376
ACH-000864,4.672436
ACH-000755,3.214628
ACH-000060,3.567066
ACH-001075,0.766969
ACH-000866,2.913669
ACH-000943,1.003736
ACH-000357,2.635731
ACH-000046,2.14475
ACH-000748,3.01706
ACH-000916,2.812465
ACH-000496,0.981772
ACH-000920,2.773849
ACH-000227,3.94166
ACH-000654,2.292835
ACH-000555,3.726915
ACH-000815,2.198661
ACH-000116,3.282707
ACH-000438,0.691082
ACH-000375,2.355421
ACH-000465,1.609412
ACH-000937,1.803537
ACH-000938,2.168488
ACH-000786,3.765778
ACH-000510,2.423572
ACH-000008,1.348985
ACH-000665,2.746241
ACH-000176,3.702377
ACH-000042,1.412886
ACH-000379,2.79717
ACH-000048,2.323789
ACH-002045,2.819838
ACH-000193,3.070354
