gene,shap_importance
IGFBP5 (3488),0.13156293
TRPV2 (51393),0.092857026
CNN3 (1266),0.056001734
MATN2 (4147),0.05076483
TNFRSF14 (8764),0.050464828
DUSP6 (1848),0.048948262
MYLK (4638),0.047958434
S100A4 (6275),0.04628422
TCEAL9 (51186),0.042136196
MAGED4B (81557),0.04167462
LYZ (4069),0.039627187
KCNMA1 (3778),0.038460076
SGCE (8910),0.037778676
CADM1 (23705),0.03544877
SH3BGRL (6451),0.03502982
TESC (54997),0.034622878
RGS16 (6004),0.033098396
EVL (51466),0.03213761
ARHGAP29 (9411),0.03178626
MUC1 (4582),0.029700253
